"Entity1";"Entity2";"ClickstreamEnt1Ent2"
"http://dbpedia.org/resource/Giacomo_Casanova";"http://dbpedia.org/resource/Zanetta_Farussi";347
"http://dbpedia.org/resource/Albert_Einstein";"http://dbpedia.org/resource/Mileva_Marić";16616
"http://dbpedia.org/resource/Venice";"http://dbpedia.org/resource/Carlo_Goldoni";25
"http://dbpedia.org/resource/Marie_Curie";"http://dbpedia.org/resource/Magnetism";11
"http://dbpedia.org/resource/Giacomo_Casanova";"http://dbpedia.org/resource/Lorenzo_Da_Ponte";11
"http://dbpedia.org/resource/Albert_Einstein";"http://dbpedia.org/resource/Radiation";95
"http://dbpedia.org/resource/Albert_Einstein";"http://dbpedia.org/resource/UNESCO";38
"http://dbpedia.org/resource/Giacomo_Casanova";"http://dbpedia.org/resource/Lena_Olin";18
"http://dbpedia.org/resource/Albert_Einstein";"http://dbpedia.org/resource/Satyendra_Nath_Bose";147
"http://dbpedia.org/resource/Albert_Einstein";"http://dbpedia.org/resource/Matteucci_Medal";111
"http://dbpedia.org/resource/Marie_Curie";"http://dbpedia.org/resource/Matteucci_Medal";60
"http://dbpedia.org/resource/Carlo_Goldoni";"http://dbpedia.org/resource/Commedia_dell'arte";23
"http://dbpedia.org/resource/Marie_Curie";"http://dbpedia.org/resource/Frédéric_Joliot-Curie";91
"http://dbpedia.org/resource/Marie_Curie";"http://dbpedia.org/resource/Lise_Meitner";46
"http://dbpedia.org/resource/Carlo_Goldoni";"http://dbpedia.org/resource/Venetian_language";20
"http://dbpedia.org/resource/Nazi_Germany";"http://dbpedia.org/resource/Albert_Einstein";29
"http://dbpedia.org/resource/Linus_Pauling";"http://dbpedia.org/resource/Albert_Einstein";24
"http://dbpedia.org/resource/Atom";"http://dbpedia.org/resource/Albert_Einstein";47
"http://dbpedia.org/resource/Physics";"http://dbpedia.org/resource/Albert_Einstein";296
"http://dbpedia.org/resource/List_of_multiple_discoveries";"http://dbpedia.org/resource/Albert_Einstein";12
"http://dbpedia.org/resource/Lise_Meitner";"http://dbpedia.org/resource/Albert_Einstein";117
"http://dbpedia.org/resource/Albert_Einstein";"http://dbpedia.org/resource/Linus_Pauling";108
"http://dbpedia.org/resource/Marie_Curie";"http://dbpedia.org/resource/Linus_Pauling";303
"http://dbpedia.org/resource/Giacomo_Casanova";"http://dbpedia.org/resource/Venice";47
"http://dbpedia.org/resource/Radiation";"http://dbpedia.org/resource/Marie_Curie";47
"http://dbpedia.org/resource/Linus_Pauling";"http://dbpedia.org/resource/Marie_Curie";729
"http://dbpedia.org/resource/Ernest_Rutherford";"http://dbpedia.org/resource/Marie_Curie";37
"http://dbpedia.org/resource/Mileva_Marić";"http://dbpedia.org/resource/Marie_Curie";128
"http://dbpedia.org/resource/Hendrik_Lorentz";"http://dbpedia.org/resource/Marie_Curie";16
"http://dbpedia.org/resource/UNESCO";"http://dbpedia.org/resource/Marie_Curie";24
"http://dbpedia.org/resource/Satyendra_Nath_Bose";"http://dbpedia.org/resource/Marie_Curie";26
"http://dbpedia.org/resource/Albert_Einstein";"http://dbpedia.org/resource/Heinrich_Zangger";19
"http://dbpedia.org/resource/Marie_Curie";"http://dbpedia.org/resource/Physics";30
"http://dbpedia.org/resource/Albert_Einstein";"http://dbpedia.org/resource/Paparoa_Range";42
"http://dbpedia.org/resource/Giacomo_Casanova";"http://dbpedia.org/resource/Don_Juan";433
"http://dbpedia.org/resource/Marie_Curie";"http://dbpedia.org/resource/Atom";11
"http://dbpedia.org/resource/Venetian_language";"http://dbpedia.org/resource/Giacomo_Casanova";23
"http://dbpedia.org/resource/Venice";"http://dbpedia.org/resource/Giacomo_Casanova";167
"http://dbpedia.org/resource/Albert_Einstein";"http://dbpedia.org/resource/Hendrik_Lorentz";36
