entity1,entity2,ClickstreamE1-E2,entity2,entity3,ClickstreamE2-E3
http://dbpedia.org/resource/Carlo_Goldoni,http://dbpedia.org/resource/Lorenzo_Da_Ponte,0,http://dbpedia.org/resource/Lorenzo_Da_Ponte,http://dbpedia.org/resource/Giacomo_Casanova,11
http://dbpedia.org/resource/Carlo_Goldoni,http://dbpedia.org/resource/Zanetta_Farussi,0,http://dbpedia.org/resource/Zanetta_Farussi,http://dbpedia.org/resource/Giacomo_Casanova,347
http://dbpedia.org/resource/Carlo_Goldoni,http://dbpedia.org/resource/Lena_Olin,0,http://dbpedia.org/resource/Lena_Olin,http://dbpedia.org/resource/Giacomo_Casanova,18
http://dbpedia.org/resource/Carlo_Goldoni,http://dbpedia.org/resource/Don_Juan,0,http://dbpedia.org/resource/Don_Juan,http://dbpedia.org/resource/Giacomo_Casanova,433
http://dbpedia.org/resource/Carlo_Goldoni,http://dbpedia.org/resource/Teatro_San_Samuele,0,http://dbpedia.org/resource/Teatro_San_Samuele,http://dbpedia.org/resource/Giacomo_Casanova,0
http://dbpedia.org/resource/Carlo_Goldoni,http://dbpedia.org/resource/Venetian_language,20,http://dbpedia.org/resource/Venetian_language,http://dbpedia.org/resource/Giacomo_Casanova,23
http://dbpedia.org/resource/Carlo_Goldoni,http://dbpedia.org/resource/Baldassare_Galuppi,0,http://dbpedia.org/resource/Baldassare_Galuppi,http://dbpedia.org/resource/Giacomo_Casanova,0
http://dbpedia.org/resource/Carlo_Goldoni,http://dbpedia.org/resource/Commedia_dell'arte,23,http://dbpedia.org/resource/Commedia_dell'arte,http://dbpedia.org/resource/Giacomo_Casanova,0
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/resource/Ernest_Rutherford,0,http://dbpedia.org/resource/Ernest_Rutherford,http://dbpedia.org/resource/Marie_Curie,37
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/resource/Mileva_Marić,16616,http://dbpedia.org/resource/Mileva_Marić,http://dbpedia.org/resource/Marie_Curie,128
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/resource/UNESCO,38,http://dbpedia.org/resource/UNESCO,http://dbpedia.org/resource/Marie_Curie,24
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/resource/Heinrich_Zangger,19,http://dbpedia.org/resource/Heinrich_Zangger,http://dbpedia.org/resource/Marie_Curie,0
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/resource/Radiation,95,http://dbpedia.org/resource/Radiation,http://dbpedia.org/resource/Marie_Curie,47
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/resource/Hendrik_Lorentz,36,http://dbpedia.org/resource/Hendrik_Lorentz,http://dbpedia.org/resource/Marie_Curie,16
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/resource/Satyendra_Nath_Bose,147,http://dbpedia.org/resource/Satyendra_Nath_Bose,http://dbpedia.org/resource/Marie_Curie,26
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/resource/List_of_multiple_discoveries,12,http://dbpedia.org/resource/List_of_multiple_discoveries,http://dbpedia.org/resource/Marie_Curie,0
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/resource/Physics,296,http://dbpedia.org/resource/Physics,http://dbpedia.org/resource/Marie_Curie,30
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/resource/Atom,47,http://dbpedia.org/resource/Atom,http://dbpedia.org/resource/Marie_Curie,11
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/resource/Frédéric_Joliot-Curie,0,http://dbpedia.org/resource/Frédéric_Joliot-Curie,http://dbpedia.org/resource/Marie_Curie,91
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/resource/Lise_Meitner,117,http://dbpedia.org/resource/Lise_Meitner,http://dbpedia.org/resource/Marie_Curie,46
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/resource/Magnetism,0,http://dbpedia.org/resource/Magnetism,http://dbpedia.org/resource/Marie_Curie,11
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/resource/Nazi_Germany,29,http://dbpedia.org/resource/Nazi_Germany,http://dbpedia.org/resource/Marie_Curie,0
