,ClickstreamEnt1Ent2,Perceived_Relatedness,Subjective_Knowledge,PopularityDiff,DBpediaRelatednessEnt1Ent2,Serendipity,DBpediaSimilarityEnt1Ent2,PalmaInterestingness2Ent1Ent2,PalmaInterestingness5Ent1Ent2,PalmaInterestingness3Ent1Ent2,PalmaInterestingness4Ent1Ent2,CosineSimilarityEnt1Ent2,PalmaInterestingnessEnt1Ent2
ClickstreamEnt1Ent2,1.0,0.16962930474929902,0.08029520369643002,-0.04179348141353928,-0.16331103914090703,-0.06775709280625565,-0.08058244684714254,-0.1944396613648385,-0.14757495295624193,-0.0824384471937376,-0.10532236012318175,-0.1764347039228575,0.010659830914153746
Perceived_Relatedness,0.16962930474929902,1.0,0.5735865425300352,0.051333917689386874,-0.12954021673436147,0.09698399112261179,-0.19511302312889656,-0.09774993617522343,-0.07854470679781872,-0.02759008003333397,-0.06504199405904502,0.0136762742764638,0.0249554624363287
Subjective_Knowledge,0.08029520369643002,0.5735865425300352,1.0,0.15723952812512174,0.05425248225620736,-0.13125245032841762,-0.052047113346982574,-0.05170350192823421,-0.08844034111320216,-0.1251056516696563,-0.14209537590226026,0.0905275651228016,0.008066459315130368
PopularityDiff,-0.04179348141353928,0.051333917689386874,0.15723952812512174,1.0,0.2106002943616153,0.10523218593596823,-0.03444931547623958,0.08074632838789493,0.08959823067858191,-0.020121743533806382,0.02624821913649821,0.14319178304752794,0.07451792775201492
DBpediaRelatednessEnt1Ent2,-0.16331103914090703,-0.12954021673436147,0.05425248225620736,0.2106002943616153,1.0,0.27203637539742714,0.17464249690372552,0.17668609492268872,0.2693930609286645,-0.14868536308023086,0.08628606240250876,0.017338463467997584,0.37317688011400335
Serendipity,-0.06775709280625565,0.09698399112261179,-0.13125245032841762,0.10523218593596823,0.27203637539742714,1.0,-0.03499001602259715,-0.06687330290323859,0.00958457297433788,-0.07112170945390887,-0.002928462158517843,0.12126580568985745,0.17686133747185348
DBpediaSimilarityEnt1Ent2,-0.08058244684714254,-0.19511302312889656,-0.052047113346982574,-0.03444931547623958,0.17464249690372552,-0.03499001602259715,1.0,0.24329013766384794,0.0949955448503917,0.10957904303987272,0.13296011306374195,0.010388872253582216,-0.11491742628240334
PalmaInterestingness2Ent1Ent2,-0.1944396613648385,-0.09774993617522343,-0.05170350192823421,0.08074632838789493,0.17668609492268872,-0.06687330290323859,0.24329013766384794,1.0,0.8277105337075925,0.6345053801564061,0.6504928069860147,0.5814538023279959,-0.19708402564470262
PalmaInterestingness5Ent1Ent2,-0.14757495295624193,-0.07854470679781872,-0.08844034111320216,0.08959823067858191,0.2693930609286645,0.00958457297433788,0.0949955448503917,0.8277105337075925,1.0,0.8345813382612172,0.90715337942891,0.30917558616364094,-0.02245678210282851
PalmaInterestingness3Ent1Ent2,-0.0824384471937376,-0.02759008003333397,-0.1251056516696563,-0.020121743533806382,-0.14868536308023086,-0.07112170945390887,0.10957904303987272,0.6345053801564061,0.8345813382612172,1.0,0.9534313341467794,0.20735764351706762,-0.2931194022001927
PalmaInterestingness4Ent1Ent2,-0.10532236012318175,-0.06504199405904502,-0.14209537590226026,0.02624821913649821,0.08628606240250876,-0.002928462158517843,0.13296011306374195,0.6504928069860147,0.90715337942891,0.9534313341467794,1.0,0.12334653443768206,-0.10912141464662649
CosineSimilarityEnt1Ent2,-0.1764347039228575,0.0136762742764638,0.0905275651228016,0.14319178304752794,0.017338463467997584,0.12126580568985745,0.010388872253582216,0.5814538023279959,0.30917558616364094,0.20735764351706762,0.12334653443768206,1.0,-0.41508007059124613
PalmaInterestingnessEnt1Ent2,0.010659830914153746,0.0249554624363287,0.008066459315130368,0.07451792775201492,0.37317688011400335,0.17686133747185348,-0.11491742628240334,-0.19708402564470262,-0.02245678210282851,-0.2931194022001927,-0.10912141464662649,-0.41508007059124613,1.0
