"Entity1","Entity2","ClickstreamEnt1-Ent2","PopularityEnt1","PopularityEnt2"
"Somalia","Silk_Road",90,168992.11,44438.67
"List_of_Indian_film_actresses","Bipasha_Basu",83,17964.67,29054
"Måneskin","Aerosmith",14,82178.42,58118.95
"Cologne_Cathedral","Panther_tank",125,38083,14627.67
"Peter_Gabriel","Grammy_Awards",14,74800.33,26452.33
"Jammu_and_Kashmir_(union_territory)","Islam",24,36812.33,458976.32
"Euthanasia","Canada",26,41389.47,840635.34
"Sicily","Sicilian_Mafia",385,108179.65,32974.33
"Jaws_(film)","Library_of_Congress",33,118354.95,15663.67
"Oak","Proto-Indo-European_language",18,70472.65,21956
"Bubble_tea","Konjac",35,51875.67,20054.21
"Brendon_Urie","Attention_deficit_hyperactivity_disorder",115,19037.33,60431
"Chris_Rea","Ayrton_Senna",26,12393,41023
"Portugal","Sweden",76,374894.74,285240.83
"Darth_Vader","Star_Wars:_Episode_I_–_The_Phantom_Menace",220,184252.33,34058
"India_national_football_team","2010_FIFA_World_Cup",41,51702,46965
"Andaman_and_Nicobar_Islands","Bengali_language",58,56798,48466
"Muhamed_(horse)","Genius",18,24026.32,19314.04
"White_Paper_of_1939","1936–1939_Arab_revolt_in_Palestine",1892,13751.33,46284
"Sleeping_Beauty_(1959_film)","Walt_Disney",148,22774.67,174661.33
"When_Harry_Met_Sally...","Billy_Crystal",5861,25525.67,26395.67
"Glenne_Headly","Psych",12,16258,24540.53
"Robert_F._Kennedy","John_F._Kennedy_Jr.",31,103109.67,56276.33
"The_Devil_Is_a_Part-Timer!","McDonald's",14,27939.68,323659.06
"List_of_American_Dad!_characters","Seth_MacFarlane",231,13165.08,56731.33
"Nigeria","Islam",25,311926.72,458976.32
"Sam_Darnold","Zach_Wilson",82,28250,108692.33
"List_of_Big_Five_Academy_Award_winners_and_nominees","Academy_Award_for_Best_Actress",20,3483.33,25969.67
"Dat_Nguyen","Dallas_Cowboys",21,3832.33,49828
"Romelu_Lukaku","Goal_celebration",27,67036.33,4022.33
"Cadbury","Chocolate_bar",27,72598.32,5926.33
"Baden-Baden","Kai_Whittaker",10,12770.4,0
"Curtis_Martin","Bill_Parcells",52,4473,19202.67
"Janice_Dickinson","Veruschka_von_Lehndorff",323,27607.67,2430
"The_Dawn-Breakers","Baháʼí_Faith",16,0,70612.67
"Boots_Opticians","Boots_(company)",32,360.67,16015.04
"ABS-CBN","ABS-CBN_(disambiguation)",54,25066.42,91.58
"Ron_DeSantis","2014_United_States_House_of_Representatives_elections_in_Florida",47,118177.89,607.67
"Canine_reproduction","Penis_captivus",133,13202.33,4872
"Church_of_the_Holy_Sepulchre","Christian_tradition",20,67567.67,1743
"Stan_Lee","Just_Imagine...",137,45215.33,769
"Puget_Sound_region","Mount_Rainier",19,1916.33,20747.67
"History_of_the_Jews_in_Tunisia","Tunisia",121,2970,181072.57
"Chor_Machaaye_Shor","Bipasha_Basu",63,1333.33,29054
"Akshay_Kumar_filmography","Apna_Bombay_Talkies",13,51109,0
"Kevin_Warren","Detroit_Lions",15,3821,45850.67
"Decathlon","Mykola_Avilov",10,37412,473.67
"Flip-flop_(electronics)","Signal",16,45047.01,4604.33
"Pakistan","Tomb_of_Shah_Rukn-e-Alam",42,740004.42,1205.67
"It's_My_Party","Amy_Winehouse",29,3884,90735
"Stevie_Ray_Vaughan","Soul_to_Soul_(album)",719,46861.33,2631.4
"Prince_Philip,_Duke_of_Edinburgh","Royal_Naval_College,_Greenwich",11,72446,601
"Alphabet_Inc.","Steve_Stoute",14,51776.67,2406
"Triple_Canopy","75th_Ranger_Regiment",55,5317.33,18006.33
"Unemployment_in_Spain","Extremadura",11,508.67,16053.39
"Wuji_(philosophy)","Infinity",34,5625.89,23004.33
"Douglas_A-1_Skyraider","Operation_Pierce_Arrow",55,13100,0
"I_Lost_My_Body","George_Wendt",30,2726,26002.33
"Vanishing_Vision","X_Japan",60,369.33,12622
"British_Leeward_Islands","Montserrat",85,1590,84135.09
"Boulet_Brothers","Drag_queen",32,2273,21265.67
"Septimius_Severus","Battle_of_Issus_(194)",225,19340,350
"Naval_ensign","Flag",10,1691.67,25405.33
"University_of_Sunderland","Tony_Scott",32,2110,28726.67
"Paul_Silas","Cardiac_arrest",13,2006.33,21096
"Leather_Jackets_(film)","D._B._Sweeney",40,776.58,24708.03
"Node.js","Wakanda_(software)",44,48219.47,803.51
"Universal_Studios_Beijing","Lights!_Camera!_Action!_Hosted_by_Steven_Spielberg",54,1907.33,644.92
"Krabat_(novel)","Otfried_Preußler",111,3283.93,860.67
"Hockey_One","Blake_Govers",10,451.33,0
"List_of_selective_high_schools_in_New_South_Wales","North_Sydney_Boys_High_School",13,461,468.33
"In_the_Meantime_(Spacehog_song)","All_Day_(Girl_Talk_album)",17,2333.67,403.33
"Diving_at_the_1996_Summer_Olympics","Diving_at_the_1996_Summer_Olympics_–_Women's_3_metre_springboard",14,0,0
"Legislative_Assembly_of_Macau","Pro-democracy_camp_(Macau)",53,733.67,398.31
"Rosencrantz_and_Guildenstern_(play)","Rosencrantz_and_Guildenstern_Are_Dead",73,768.42,5619.67
"Earl_of_Airlie","David_Ogilvy,_11th_Earl_of_Airlie",35,0,0
"Steve_Francis","2002–03_Houston_Rockets_season",12,4459.33,0
"Alan_Pulido","Rodolfo_Pizarro",36,1428.67,1661.33
"Lois_Lowry","Anastasia_Has_the_Answers",16,5004.67,0
"Transition_metal_NHC_complex","IMes",12,0,417.89
"Uganda_Airlines_(1976–2001)","Entebbe_International_Airport",11,0,5408.67
"Gaseous_diffusion","Clarendon_Laboratory",14,1443.33,0
"Jarman_Gap","Rockfish_Gap",15,0,468
"Armeniac_Theme","Lesser_Armenia",51,628.67,908
"Criticism_of_the_government_response_to_Hurricane_Katrina","A_Concert_for_Hurricane_Relief",38,1858,390.33
"List_of_Billboard_Mainstream_Rock_number-one_songs_of_the_1980s","Free_Fallin'",14,802.67,4095
"Tim_Morse","Scott_Thompson_(businessman)",31,0,980.31
"Montana_Resources_LLP","The_Washington_Companies",17,0,0
"Most_wanted_list","ICE_Most_Wanted",330,1983,0
"Venus_(given_name)","Venus_Ramey",15,0,0
"Von_Mises_yield_criterion","Henri_Tresca",77,5529.33,0
"Chatchai_Budprom","PT_Prachuap_F.C.",12,0,2321.33
"Fury_Road_(2023)","MLW_Fury_Road",15,678.67,0
"The_Headmaster_Ritual","How_Soon_Is_Now?",14,502,0
"Fictional_religion","Church_of_All_Worlds",41,416,566
"Belarus–Poland_border","Białowieża",18,2281.51,824.22
"List_of_wars_involving_Estonia","Soviet_occupation_of_the_Baltic_states_(1940)",10,337.67,1240
"Mary_Odili","Rose_A._George",14,391.67,0
"Socialist_realism","Geliy_Korzhev",36,5889.67,0
"Y._Vijaya","Minnale_(TV_series)",12,3210.53,338
"Uname","List_of_POSIX_commands",12,857.33,0
"Jewish_surname","Mitrani",42,5473.67,0
"TI-85","TI-86",375,1350.53,953.68
"Union,_Kentucky","Steve_Flesch",83,1199.67,0
"Vivek_Dhakar","Gopal_Lal_Sharma",17,0,0
"Krystal_Keith","Show_Dog_Nashville",14,3054.33,0
"Membrillo","Gustavia_superba",10,177.89,0
"Arnold_Schwarzenegger","The_Running_Man_(1987_film)",2677,329627.67,12481
"Lady_Gaga","David_Bowie",344,148607.67,144136.67
"Bond_girl","The_Spy_Who_Loved_Me_(film)",126,13486,39054.05
"Hum_Aapke_Hain_Koun..!","List_of_highest-grossing_films_in_India",38,26179.37,89922
"Mena_Suvari","American_Horror_Story:_Apocalypse",165,30798.33,24038.67
"Doctor_Strange_in_the_Multiverse_of_Madness","Ms._Marvel_(miniseries)",90,59419.67,70666.67
"Assassination_of_Martin_Luther_King_Jr.","James_Earl_Ray",11836,16616.67,21297.33
"Bhool_Bhulaiyaa_2","Kiara_Advani",884,15200.67,83970.33
"Wraith_(Yuri_Watanabe)","Tombstone_(character)",62,22772,12166
"Venom_(2018_film)","Matthias_Schoenaerts",10,44324.67,15217.67
"Brent_Venables","Oklahoma_Sooners_football",278,26684,17803.67
"Rinku_Singh_(cricketer)","Shreyas_Iyer",88,23279.31,106182
"Crooked_House_(film)","Gemma_Arterton",12,13443.24,30511.33
