Entity1,Entity2,ClickstreamEnt1Ent2
http://dbpedia.org/resource/Carlo_Goldoni,http://dbpedia.org/resource/Lorenzo_Da_Ponte,1
http://dbpedia.org/resource/Carlo_Goldoni,http://dbpedia.org/resource/Zanetta_Farussi,1
http://dbpedia.org/resource/Carlo_Goldoni,http://dbpedia.org/resource/Lena_Olin,1
http://dbpedia.org/resource/Carlo_Goldoni,http://dbpedia.org/resource/Don_Juan,1
http://dbpedia.org/resource/Carlo_Goldoni,http://dbpedia.org/resource/Teatro_San_Samuele,1
http://dbpedia.org/resource/Carlo_Goldoni,http://dbpedia.org/resource/Baldassare_Galuppi,1
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/resource/Ernest_Rutherford,1
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/resource/Frédéric_Joliot-Curie,1
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/resource/Magnetism,1
http://dbpedia.org/resource/Teatro_San_Samuele,http://dbpedia.org/resource/Giacomo_Casanova,1
http://dbpedia.org/resource/Baldassare_Galuppi,http://dbpedia.org/resource/Giacomo_Casanova,1
http://dbpedia.org/resource/Commedia_dell'arte,http://dbpedia.org/resource/Giacomo_Casanova,1
http://dbpedia.org/resource/Heinrich_Zangger,http://dbpedia.org/resource/Marie_Curie,1
http://dbpedia.org/resource/List_of_multiple_discoveries,http://dbpedia.org/resource/Marie_Curie,1
http://dbpedia.org/resource/Nazi_Germany,http://dbpedia.org/resource/Marie_Curie,1
