Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PageRankEnt1;PageRankEnt2;PageViewEnt1;PageViewEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2;PalmaInterestingness2Ent1Ent2;PalmaInterestingness3Ent1Ent2;PalmaInterestingness4Ent1Ent2;PalmaInterestingness5Ent1Ent2;PalmaInterestingness6Ent1Ent2;PalmaInterestingness7Ent1Ent2
http://dbpedia.org/resource/Carlo_Goldoni;http://dbpedia.org/resource/Lorenzo_Da_Ponte;1;4239.77;10799.22;0.8908491772;0.3401173047;3777;3673;6559.44;15038.99;0.29;1.0;0.84;4.1355341292;0.87;0.12;0.33;0.4;0.16;0.18
http://dbpedia.org/resource/Carlo_Goldoni;http://dbpedia.org/resource/Zanetta_Farussi;1;4239.77;948.89;0.8908491772;0.9;3777;854;3290.89;5188.66;0.26;1.0;0.8;3.5829469978;0.83;0.12;0.32;0.41;0.16;0.17
http://dbpedia.org/resource/Carlo_Goldoni;http://dbpedia.org/resource/Lena_Olin;1;4239.77;270597.69;0.8908491772;0.1379723512;3777;37335;266357.92;274837.47;0.13;1.0;0.76;5.9661596848;0.82;0.12;0.33;0.31;0.17;0.14
http://dbpedia.org/resource/Carlo_Goldoni;http://dbpedia.org/resource/Don_Juan;1;4239.77;1478519.94;0.8908491772;0.0175567467;3777;25958;1474280.16;1482759.71;0.21;0.01;0.81;33.5954959098;0.88;0.12;0.34;0.34;0.16;0.16
http://dbpedia.org/resource/Carlo_Goldoni;http://dbpedia.org/resource/Teatro_San_Samuele;1;4239.77;1021.93;0.8908491772;0.2250648711;3777;230;3217.85;5261.7;0.25;0.01;0.72;18.5013385703;0.78;0.1;0.29;0.5;0.15;0.15
http://dbpedia.org/resource/Carlo_Goldoni;http://dbpedia.org/resource/Baldassare_Galuppi;1;4239.77;1533.33;0.8908491772;0.9;3777;1380;2706.44;5773.11;0.35;1.0;0.86;3.5382012104;0.93;0.1;0.35;0.45;0.15;0.18
http://dbpedia.org/resource/Albert_Einstein;http://dbpedia.org/resource/Ernest_Rutherford;1;2747813.11;44846.67;0.1535068007;0.9;421808;40362;2702966.45;2792659.78;0.26;1.0;0.79;5.7075016492;0.85;0.11;0.32;0.42;0.15;0.16
http://dbpedia.org/resource/Albert_Einstein;http://dbpedia.org/resource/Frédéric_Joliot-Curie;1;2747813.11;11825.24;0.1535068007;0.7484835388;421808;8851;2735987.87;2759638.36;0.25;1.0;0.75;5.0794821522;0.81;0.1;0.31;0.46;0.15;0.16
http://dbpedia.org/resource/Albert_Einstein;http://dbpedia.org/resource/Magnetism;1;2747813.11;24084.44;0.1535068007;0.9;421808;21676;2723728.67;2771897.56;0.27;0.01;0.75;29.7944033277;0.81;0.1;0.3;0.49;0.15;0.16
http://dbpedia.org/resource/Teatro_San_Samuele;http://dbpedia.org/resource/Giacomo_Casanova;1;1021.93;5197519.76;0.2250648711;0.0081156017;230;42181;5196497.83;5198541.69;0.18;0.01;0.73;37.1882865532;0.79;0.11;0.3;0.4;0.16;0.15
http://dbpedia.org/resource/Baldassare_Galuppi;http://dbpedia.org/resource/Giacomo_Casanova;1;1533.33;5197519.76;0.9;0.0081156017;1380;42181;5195986.43;5199053.09;0.28;1.0;0.87;7.1342923656;0.94;0.12;0.36;0.36;0.16;0.18
http://dbpedia.org/resource/Commedia_dell'arte;http://dbpedia.org/resource/Giacomo_Casanova;1;11.66;5197519.76;0.68597;0.0081156017;8;42181;5197508.1;5197531.42;0.0;0.01;0.01;0.0;0.02;0.0;0.0;0.06;0.02;0.04
http://dbpedia.org/resource/Heinrich_Zangger;http://dbpedia.org/resource/Marie_Curie;1;1702.72;1350920.3;0.1256813728;0.2197598183;214;296878;1349217.58;1352623.02;0.15;1.0;0.68;4.8206769273;0.74;0.11;0.28;0.43;0.15;0.14
http://dbpedia.org/resource/List_of_multiple_discoveries;http://dbpedia.org/resource/Marie_Curie;1;11216.91;1350920.3;0.2279593639;0.2197598183;2557;296878;1339703.39;1362137.21;0.41;0.01;0.77;22.4713170443;0.83;0.08;0.31;0.57;0.13;0.18
http://dbpedia.org/resource/Nazi_Germany;http://dbpedia.org/resource/Marie_Curie;1;4096580.48;1350920.3;0.0792578107;0.2197598183;324686;296878;2745660.17;5447500.78;0.31;0.01;0.63;25.6805668044;0.68;0.07;0.25;0.61;0.12;0.15
